seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
353,0.05,0.04,0.03,0.01,-0,1.03,sideways
354,0.05,0.04,0.03,0.01,-0,1.03,sideways
355,0.07,0.05,-0.06,0.08,0.02,1.04,sideways
356,0.05,0.04,-0.31,0.08,-0,1.03,sideways
357,0.05,0.07,-0.13,0.16,-0.01,1.02,sideways
358,0.06,0.06,-0.35,0.18,-0.04,1.01,sideways
359,0.07,0.07,0.09,0.17,-0.04,1.04,sideways
360,0.05,0.08,-0.76,0.08,-0,1.04,sideways
361,0.04,0.01,-0.2,0.01,0.02,1.02,sideways
362,0.07,0.01,0.25,-0.1,0.03,1.01,sideways
363,-0.05,0.03,-0.62,-0.12,-0.01,1.11,sideways
364,0.06,0,0.18,-0.08,0.01,1.04,sideways
365,0.05,0.03,-0.18,-0.1,-0.01,1.08,sideways
366,0.04,0.04,-0.13,-0.13,0,1.03,sideways
367,0.05,0.05,0.03,-0.04,-0.02,1.03,sideways
368,0.05,0.04,0.01,0.01,0,1.03,sideways
369,0.03,0.07,0.16,0,0.01,1.03,sideways
370,0.05,0.05,0.04,0.03,0.01,1.02,sideways
371,0.06,0.05,0.03,0.01,0,1.02,sideways
372,0.06,0.05,0.03,0.01,-0,1.03,sideways
373,0.06,0.05,0.03,0.01,-0,1.03,sideways
374,0.05,0.04,0.03,0.01,-0,1.03,sideways
375,0.05,0.05,0.03,0.01,0,1.03,sideways
376,0.06,0.05,0.04,0.01,0,1.02,sideways
377,0.05,0.04,0.03,0,0,1.03,sideways
378,0.02,0.05,-0.18,-0.1,0.02,1.03,sideways
379,0.05,0.05,-0.08,-0.16,0.03,1.01,sideways
380,0.06,0.08,-0.12,-0.2,0.01,1.04,sideways
381,0.04,0.1,0.49,-0.12,0.05,0.99,sideways
382,0.07,-0.01,0.83,-0.08,-0.04,1.1,sideways
383,0.07,0.1,0.8,0.09,-0.03,1.01,sideways
384,0.06,-0.03,0.88,0.21,0.04,0.93,sideways
385,0.06,0.04,0.23,0.17,-0.01,1.02,sideways
386,0.06,0.05,0.38,0.24,-0.03,1.02,sideways
387,0.06,0.05,0.01,0.18,-0.01,1.02,sideways
388,0.04,0.05,-0.22,0.06,-0.01,1.03,sideways
389,0.04,0.05,-0.24,0.04,-0,1.03,sideways
390,0.06,0.04,0.01,0.01,-0.01,1.03,sideways
391,0.06,0.04,0.04,0.01,-0,1.03,sideways
392,0.05,0.05,0.04,0.01,-0.01,1.03,sideways
393,0.05,0.05,0.03,0,-0,1.03,sideways
394,0.05,0.06,0.04,0.01,-0,1.02,sideways
395,0.06,0.04,0.03,0.01,-0.01,1.02,sideways
396,0.05,0.05,0.03,0.01,-0,1.03,sideways
397,0.06,0.04,0.03,0.01,-0,1.03,sideways
398,0.05,0.05,0.02,0.03,-0,1.02,sideways
399,0.06,0.05,-0.29,0.06,0,1.03,sideways
400,0.06,0.05,-0.15,0.12,-0.01,1.03,sideways
401,0.04,0.07,0.07,0.16,-0.02,1.03,sideways
402,0.11,0.01,-0.1,0.15,-0.05,1.06,sideways
403,0.04,0.05,-0.22,0.13,0.01,0.97,sideways
404,0.02,0.05,-0.21,0.12,-0.02,0.95,sideways
405,0.07,0.07,-0.78,0.05,-0.04,1.07,sideways
406,0.2,0.04,-0.41,-0.11,0.04,1.01,sideways
407,0.06,0.04,0.14,-0.19,0.04,0.99,sideways
408,0.05,0.03,-0.15,-0.18,0.02,1.03,sideways
409,0.05,0.05,-0.27,-0.14,0.02,1.03,sideways
410,0.05,0.05,0.04,-0.05,0,1.03,sideways
411,0.06,0.05,0.28,-0.03,-0,1.03,sideways
412,0.05,0.04,0.02,0.01,0,1.03,sideways
413,0.06,0.05,0.03,0.03,-0,1.04,sideways
414,0.04,0.05,0.06,0.03,-0,1.03,sideways
415,0.05,0.04,0.03,0.03,-0,1.03,sideways
416,0.06,0.05,0.03,0.01,-0,1.03,sideways
